Postcode,Latitude,Longitude
CF43,51.6571,-3.45046
CF44,51.7171,-3.45685
CF45,51.67,-3.36273
CF46,51.6638,-3.30139
CF47,51.7505,-3.37545
CF48,51.7426,-3.37066
CF61,51.4094,-3.48094
CF62,51.4042,-3.30942
CF63,51.4104,-3.26046
CF64,51.4343,-3.1882
CF71,51.4569,-3.465
CF72,51.5299,-3.40096
CF81,51.6997,-3.2438
CF82,51.6491,-3.23707
CF83,51.5855,-3.22064
CF91,51.4656,-3.19392
CF95,51.4812,-3.17104
CF99,51.4645,-3.16135
CH1,53.1995,-2.90019
CH2,53.2157,-2.87079
CH3,53.1677,-2.82546
CH4,53.1693,-2.93809
CH5,53.2049,-3.03852
CH6,53.249,-3.14399
CH7,53.1694,-3.1339
CH8,53.2823,-3.24146
CH25,53.397,-3.01178
CH26,53.3657,-3.06591
CH27,53.4212,-3.04226
CH28,53.4005,-3.11194
CH29,53.3903,-3.17941
CH30,53.379,-3.09844
CH31,53.3297,-3.09886
CH32,53.362,-2.99763
CH33,53.2906,-3.06264
CH34,53.283,-2.90928
CH41,53.3948,-3.03093
CH42,53.3752,-3.0219
CH43,53.3829,-3.06013
CH44,53.4156,-3.03724
CH45,53.4283,-3.05078
CH46,53.4039,-3.11094
CH47,53.3959,-3.1702
CH48,53.3726,-3.17084
CH49,53.3809,-3.1033
CH60,53.327,-3.09643
CH61,53.3474,-3.10174
CH62,53.3358,-2.98218
CH63,53.3458,-3.01145
CH64,53.2884,-3.04912
CH65,53.2784,-2.90261
CH66,53.2781,-2.93621
CH70,53.1927,-2.92254
CH88,53.1779,-2.89582
CH99,53.1872,-2.88946
CM0,51.6589,0.831519
CM1,51.7457,0.466682
CM2,51.7237,0.484916
CM3,51.7162,0.58665
CM4,51.675,0.388625
CM5,51.7182,0.247773
CM6,51.8783,0.375193
CM7,51.886,0.547903
CM8,51.8054,0.638522
CM9,51.739,0.695325
CM11,51.6238,0.442998
CM12,51.6268,0.41491
CM13,51.6151,0.334467
CM14,51.619,0.295755
CM15,51.6412,0.30421
CM16,51.7003,0.118743
CM17,51.7732,0.141015
CM18,51.7567,0.104678
CM19,51.7614,0.0742809
CM20,51.7745,0.100153
CM21,51.8121,0.147849
CM22,51.8654,0.217385
CM23,51.871,0.158813
CM24,51.8979,0.20641
CM77,51.867,0.553291
CM92,51.7694,0.061253
CM98,51.7521,0.518448
CM99,51.7398,0.49321
CO1,51.8781,0.883788
CO2,51.871,0.895272
CO3,51.8854,0.857963
CO4,51.907,0.920476
CO5,51.8142,0.821467
CO6,51.9326,0.793217
CO7,51.8804,1.00331
CO8,51.9734,0.767035
CO9,51.9675,0.611354
CO10,52.0541,0.726749
CO11,51.9423,1.07553
CO12,51.9323,1.25569
CO13,51.8382,1.23762
CO14,51.8502,1.26749
CO15,51.7967,1.15523
CO16,51.8198,1.12631
CR0,51.3733,-0.0786179
CR2,51.3458,-0.0956901
CR3,51.2976,-0.0964723
CR4,51.4026,-0.14516
CR5,51.3135,-0.141312
CR6,51.3026,-0.0577498
CR7,51.3925,-0.103743
CR8,51.3365,-0.11114
CR9,51.3748,-0.0950569
CR44,51.3823,-0.132896
CR90,51.3775,-0.108223
CT1,51.2788,1.08667
CT2,51.2923,1.08184
CT3,51.2773,1.20656
CT4,51.2279,1.06785
CT5,51.3543,1.03461
CT6,51.3641,1.12828
CT7,51.3713,1.30195
CT8,51.3805,1.34035
CT9,51.3838,1.388
CT10,51.3629,1.42906
CT11,51.3365,1.41238
CT12,51.3431,1.36916
CT13,51.2687,1.33064
CT14,51.2175,1.38704
CT15,51.1711,1.28374
CT16,51.1395,1.30145
CT17,51.1287,1.29537
CT18,51.1127,1.15053
CT19,51.0884,1.16829
CT20,51.0796,1.16504
CT21,51.0729,1.07763
CT50,51.0792,1.14402
CV1,52.409,-1.50748
CV2,52.4234,-1.46764
CV3,52.3935,-1.48193
CV4,52.3994,-1.55624
CV5,52.412,-1.54838
CV6,52.4311,-1.50674
CV7,52.4427,-1.55882
CV8,52.3511,-1.54822
CV9,52.5847,-1.55933
CV10,52.5257,-1.4997
CV11,52.5206,-1.45653
CV12,52.4771,-1.47391
CV13,52.6082,-1.41766
CV21,52.371,-1.27092
CV22,52.3577,-1.28281
CV23,52.3508,-1.29589
CV31,52.2801,-1.52701
CV32,52.2957,-1.5318
CV33,52.2378,-1.44651
CV34,52.2839,-1.5837
CV35,52.2319,-1.59508
CV36,52.0708,-1.6299
CV37,52.1865,-1.71524
CV47,52.2364,-1.38726
CW1,53.0997,-2.43059
CW2,53.0811,-2.44578
CW3,53.0037,-2.41044
CW4,53.204,-2.34091
CW5,53.0636,-2.52216
CW6,53.1615,-2.66731
CW7,53.1907,-2.52727
CW8,53.2539,-2.55936
CW9,53.2597,-2.50403
CW10,53.1889,-2.44861
CW11,53.1433,-2.36527
CW12,53.1665,-2.2159
CW98,53.0882,-2.43111
DA1,51.4472,0.209468
DA2,51.4332,0.231875
DA3,51.3859,0.306394
DA4,51.3928,0.230811
DA5,51.441,0.147676
DA6,51.4561,0.139181
DA7,51.465,0.14313
DA8,51.4761,0.179912
DA9,51.4482,0.28056
DA10,51.4424,0.300069
DA11,51.4352,0.351736
DA12,51.4309,0.383758
DA13,51.386,0.354131
DA14,51.4258,0.110476
DA15,51.4398,0.0989456
DA16,51.4645,0.109002
DA17,51.4864,0.150867
DA18,51.4915,0.145763
DD1,56.4618,-2.97737
DD2,56.4712,-3.02801
DD3,56.482,-2.98942
DD4,56.482,-2.93549
DD5,56.4797,-2.86336
DD6,56.4365,-2.9283
DD7,56.5028,-2.71978
DD8,56.6556,-2.92206
DD9,56.7476,-2.66663
DD10,56.7456,-2.43086
DD11,56.5723,-2.59758
DE1,52.9189,-1.47262
DE2,52.9132,-1.44088
DE3,52.9154,-1.50926
DE4,53.1434,-1.58463
DE5,53.0566,-1.42553
DE6,52.9632,-1.66877
DE7,52.9403,-1.3429
DE11,52.7731,-1.55666
DE12,52.7272,-1.55369
DE13,52.8075,-1.68852
DE14,52.8071,-1.63916
DE15,52.7989,-1.61086
DE21,52.9324,-1.43512
DE22,52.9331,-1.49769
